Link,title,location,company,salary,summary,upload
https://kr.indeed.com/viewjob?jk=9193b9de45a0ac1c,Embedded Software Engineer - Connected,경기도 성남,GE Appliances,,"skills with C, C++ and other script languages (i.e. python etc..) Strong knowledge... IOT devices communication protocols...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=f54bac6c78fd3240,코딩에 빠진 수퍼 개발자 (펌웨어 개발),성남 수정구,에바,,"학력무관직무기술: 펌웨어(Firmware), Embedded System S/W 개발(판교) c/c++, Python 3 명 근무조건 고용형태: 정규직근무부서: 개발팀급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=c35e9b72a11aa338,[신입/경력] 의료영상/음성인식/생체신호 연구원,서울 서초구,뷰노코리아,,게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python,Posted30+일 전
https://kr.indeed.com/viewjob?jk=915b6c68628695d6,AI Research Engineer - Intel Contract,서울,Intel,,"PyTorch, and Caffe - Strong programming skills with C/C++ and Python - Experiences in programming and testing on Linux...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=3b7dbdf85a326a6d,국내 대기업 - AI 및 딥러닝 관련 경력자,서울,라피플코리아리미티드,,"관련 전문 지식 있는 분 - Python 또는 Scala, JAVA 활용... 레임워크 활용 역량 좋은 분- 자연어처리 관련 전문 지식 있는 분- Python 또는 Scala, JAVA 활용 역량- 미디어/커머스/전자/IT 업계...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=00de2b26815d022e,[웹젠] DBA(신입),성남 분당구,웹젠,,로운 기술과 도전을 좋아하는 분 - Data에 대한 관심이 높은 분 - Python 프로그램 경험이 있는 분 • 기타 - 수시채용은 공고 게시 중에도... 에 대한 관심이 높은 분 - Python 프로그램 경험이 있는 분 • 기타...,Posted14일 전
https://kr.indeed.com/viewjob?jk=1e8539a3b6e3380d,[현장코칭](주)대연씨앤아이 웹솔루션 개발 사원 (JAVA/Python),서울 구로구,대연씨앤아이,,"[WEB 개발자] - 컴퓨터, 전산, 시스템공학, 응용소프트웨어고학, 기타 공학, 수학, 통계학 관련 전공 우대 - 정보처리기사, 정보통신기술자경력수첩(초급) 우대 - 이클립스 개발툴 사용 가능자 우대 - 차트 라이브러리...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=2b9e604e63e7e46d,[카카오커머스] 기술직군,성남 분당구,카카오커머스,,"우대사항 - 전자금융 감독규정, PCIDSS에 대한 실무 경험이나 이해도가 높으신 분 - JAVA, Python, shell script 등 개발 역량을 갖추신 분 - 웹/앱 취약점 진단 및 모의해킹 역량을 갖추신...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=19da3484bd7a72f1,Machine Learning R&D 연구원,서울 서초구,카이어,,"가능) ㆍ최신 딥러닝, 기계학습 이론에 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++, TensorRT 등 프로그래밍 실무... 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++...",Posted30+일 전
https://kr.indeed.com/viewjob?jk=b71a0a39cafc452c,신입 및 경력직원 채용[금융공학연구소],서울 여의도,KIS채권평가,,"전공자 ㆍ금융상품 평가에 대한 이해 및 방법론 개발 역량 ㆍ파생상품 평가모형 프로그래밍 경험 (C/C++, Python 등) ㆍ우대 조건 - 석사학위 이상 소지자 - 리서치 능력 보유자 전형절차 및 일정 서류접수 01...",Posted2일 전
https://kr.indeed.com/viewjob?jk=87985ee884920551,Business Analyst,서울,Numerix Korea Ltd,,"engineering related research. • Broad working knowledge of Python, Excel (inc. automation skills), Relational DBs, SQL...",Posted16일 전
https://kr.indeed.com/viewjob?jk=ae8705206d8ae829,"Lead Software Engineer, Search",서울 강남구,구글코리아,,"field.Experience coding in C++, Python, or Java.Ability to speak and write... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...",Posted7일 전
https://kr.indeed.com/viewjob?jk=7b091681f7106dcd,Head of Technical Writing,서울,Sendbird,,"following languages; Objective-C, Java, Swift, JavaScript, and Python ABOUT SENDBIRD Sendbird... world's leading chat...",Posted2일 전
https://kr.indeed.com/viewjob?jk=b574f1454ae36aab,Cross Border Ecommerce - Business Intelligence (Based in Seo...,서울,Shopee,,business analyst related roles Proficient in SQL and Python Strong analytical skill and sensitivity to data Strong oral...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=63fe23c48e8befdf,대기업 계열 자동차 전장회사 AI/DX 전문가 (연구위원),서울 강서구,풀림,,통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...,Posted30+일 전
https://kr.indeed.com/viewjob?jk=2f218efc7f8e3e59,[대기업] 데이터 엔지니어 (BI 개발) 과차장급,서울,에이치알니즈,,"또는 기타 Public Cloud 환경에서의 데이터 운영, 개발 경험( Python) -근무지 : 서울연 봉 : 협의 (현 연봉 + @)-* 담당자... 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python",Posted30+일 전
https://kr.indeed.com/viewjob?jk=3cd339cf8959f44d,생명정보학 부문 박사졸 선임연구원 정규직 정규직,서울 서대문구,카이팜,"연봉 50,000,000원 - 60,000,000원","- Python or R 활용가능 -Linux terminal 능숙 -생물학... 생명정보학, 생물정보학-외국어: 영어 회화가능,독해가능,작문가능- Python or R 활용가능- Linux terminal 능숙- 생물학 기초 수강...",Posted30+일 전
